FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,STATE,LATITUDE,LONGITUDE,OWNER_DESCR,MONTH,MONTH_NAME,CAUSE_TYPE,SIZE_CLASS_LABEL
1996,14,Debris Burning,5,B,TX,31.92708,-94.96875,MISSING/NOT SPECIFIED,1,Jan,Human,B: 0.25-9.9 acres
1994,275,Arson,0.1,A,CA,34.50694444,-117.37194444,MISSING/NOT SPECIFIED,10,Oct,Human,A: <0.25 acres
2014,48,Campfire,20,C,MS,31.68245635,-89.93007914,PRIVATE,2,Feb,Human,C: 10-99.9 acres
2004,73,Arson,46,C,AL,33.042845,-85.360171,MISSING/NOT SPECIFIED,3,Mar,Human,C: 10-99.9 acres
2007,64,Missing/Undefined,0.2,A,NC,35.85087,-82.11482,MISSING/NOT SPECIFIED,3,Mar,Human,A: <0.25 acres
2013,281,Debris Burning,0.1,A,TX,29.8788672,-97.5389865,PRIVATE,10,Oct,Human,A: <0.25 acres
1993,218,Lightning,0.1,A,OR,42.94789,-122.20652,NPS,8,Aug,Natural,A: <0.25 acres
2014,81,Debris Burning,17,C,MS,34.86628371,-89.23542796,PRIVATE,3,Mar,Human,C: 10-99.9 acres
2004,104,Miscellaneous,0.74,B,GA,32.9538876,-82.69751894,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2008,267,Debris Burning,2,B,VA,37.90306,-75.63944,MISSING/NOT SPECIFIED,9,Sep,Human,B: 0.25-9.9 acres
1996,152,Arson,2.7,B,GA,31.5151,-81.5551,PRIVATE,5,May,Human,B: 0.25-9.9 acres
1993,92,Missing/Undefined,5,B,OK,34.67430091,-95.27850337,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
1995,135,Arson,0.5,B,AZ,33.3451,-110.4573,BIA,5,May,Human,B: 0.25-9.9 acres
1994,92,Debris Burning,2,B,FL,26.2642,-80.9665,PRIVATE,4,Apr,Human,B: 0.25-9.9 acres
2015,185,Fireworks,0.1,A,WA,46.38178,-120.3423,BIA,7,Jul,Human,A: <0.25 acres
2000,297,Arson,0.1,A,TN,35.24166667,-84.375,USFS,10,Oct,Human,A: <0.25 acres
2008,215,Miscellaneous,0.5,B,VA,37.64583,-76.375,MISSING/NOT SPECIFIED,8,Aug,Human,B: 0.25-9.9 acres
2000,68,Miscellaneous,0.1,A,MS,34.8556,-88.3539,MISSING/NOT SPECIFIED,3,Mar,Human,A: <0.25 acres
2006,52,Miscellaneous,0.5,B,NC,36.38988002,-80.86405001,MISSING/NOT SPECIFIED,2,Feb,Human,B: 0.25-9.9 acres
2007,87,Miscellaneous,0.5,B,NY,41.37610702,-73.94388695,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
2011,62,Missing/Undefined,1,B,PR,18.49431,-67.043076,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
2000,1,Miscellaneous,4,B,LA,31.9211,-92.7133,MISSING/NOT SPECIFIED,1,Jan,Human,B: 0.25-9.9 acres
1999,121,Arson,2,B,MN,47.618405,-93.366456,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2008,77,Missing/Undefined,5,B,MS,32.678414,-89.763586,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
1993,69,Arson,125,D,MS,33.00471841,-89.94297674,MISSING/NOT SPECIFIED,3,Mar,Human,D: 100-299 acres
2010,124,Lightning,5,B,NM,36.02397,-104.85233,PRIVATE,5,May,Natural,B: 0.25-9.9 acres
1998,170,Lightning,2.2,B,GA,32.0472,-84.3383,MISSING/NOT SPECIFIED,6,Jun,Natural,B: 0.25-9.9 acres
2008,93,Debris Burning,0.5,B,GA,33.18887598,-85.02460867,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2012,191,Campfire,0.5,B,GA,34.43724722,-84.86963611,PRIVATE,7,Jul,Human,B: 0.25-9.9 acres
2002,103,Debris Burning,0.1,A,MN,45.49206449,-93.82264992,MISSING/NOT SPECIFIED,4,Apr,Human,A: <0.25 acres
2005,107,Miscellaneous,0.68,B,NY,43.32881134,-73.67008325,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2015,105,Debris Burning,0.1,A,MA,42.354438,-73.3065,PRIVATE,4,Apr,Human,A: <0.25 acres
1995,57,Arson,50,C,MS,31.45638002,-90.22999741,MISSING/NOT SPECIFIED,2,Feb,Human,C: 10-99.9 acres
2001,123,Debris Burning,3,B,SC,34.3333,-81.2167,MISSING/NOT SPECIFIED,5,May,Human,B: 0.25-9.9 acres
2005,254,Lightning,200,D,TX,30.12093998,-101.1836,MISSING/NOT SPECIFIED,9,Sep,Natural,D: 100-299 acres
2012,184,Equipment Use,0.1,A,WA,48.39381,-118.49481,BIA,7,Jul,Human,A: <0.25 acres
